id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15648876.0,Shih,652.0,France,Male,31.0,9.0,129901.21,1.0,0.0,0.0,120531.31,0.0
1,15662494.0,Okeke,812.0,France,Male,38.0,5.0,0.0,2.0,1.0,1.0,185547.74,0.0
2,15655238.0,Trevisani,710.0,Germany,Female,23.0,1.0,121376.15,1.0,1.0,1.0,57589.29,0.0
3,15752300.0,Yashina,558.0,Spain,Female,36.0,10.0,0.0,2.0,1.0,1.0,126192.54,0.0
4,15770548.0,Ndubuagha,625.0,Germany,Male,39.0,4.0,137592.41,1.0,1.0,0.0,76946.6,1.0
5,15697596.0,Ting,637.0,France,Female,45.0,1.0,125785.23,1.0,1.0,1.0,104722.69,0.0
6,15650026.0,Bage,579.0,France,Female,35.0,5.0,0.0,2.0,1.0,0.0,100941.57,0.0
7,15739046.0,Uvarova,552.0,France,Female,26.0,5.0,0.0,1.0,1.0,0.0,48876.84,0.0
8,15733387.0,Chidiegwu,579.0,Germany,Female,45.0,10.0,170214.23,1.0,1.0,1.0,64448.36,0.0
9,15652955.0,Onio,667.0,Spain,Female,30.0,7.0,0.0,2.0,1.0,0.0,88920.68,0.0
10,15778089.0,Ts'ui,731.0,Spain,Male,31.0,9.0,0.0,2.0,0.0,1.0,134593.85,0.0
11,15624781.0,Ijendu,692.0,Germany,Male,25.0,8.0,125584.17,1.0,1.0,1.0,158973.77,0.0
12,15584532.0,Onyekachi,733.0,Spain,Female,34.0,7.0,0.0,2.0,0.0,0.0,151401.33,0.0
13,15628950.0,Rubeo,758.0,Spain,Female,38.0,7.0,0.0,1.0,0.0,0.0,58855.85,0.0
14,15797767.0,Okwuadigbo,850.0,France,Female,49.0,6.0,0.0,1.0,1.0,1.0,159830.58,1.0
15,15590011.0,Chien,598.0,Germany,Female,49.0,3.0,124401.6,2.0,1.0,1.0,152298.28,1.0
16,15576085.0,Mazzanti,586.0,Spain,Male,28.0,3.0,0.0,2.0,1.0,1.0,86733.61,0.0
17,15790267.0,T'an,719.0,France,Male,32.0,1.0,0.0,1.0,0.0,1.0,179521.24,1.0
18,15638003.0,Ndubueze,573.0,France,Male,39.0,7.0,0.0,2.0,1.0,0.0,86935.07,0.0
19,15672826.0,Yobachi,628.0,France,Female,41.0,3.0,0.0,2.0,1.0,1.0,149575.59,0.0
20,15656319.0,Onwughara,713.0,France,Female,34.0,9.0,0.0,2.0,1.0,1.0,68600.36,0.0
21,15782758.0,Linger,582.0,France,Male,44.0,6.0,0.0,1.0,1.0,0.0,57905.01,0.0
22,15576680.0,Okonkwo,651.0,France,Male,31.0,7.0,0.0,2.0,0.0,0.0,160948.87,0.0
23,15681026.0,Ch'ang,664.0,France,Male,36.0,5.0,95984.69,1.0,1.0,1.0,156908.39,0.0
24,15784092.0,H?,707.0,France,Male,26.0,2.0,0.0,2.0,1.0,1.0,152790.92,0.0
25,15614818.0,Shih,516.0,Spain,Female,38.0,2.0,0.0,2.0,1.0,1.0,85901.09,0.0
26,15595874.0,Tung,684.0,Germany,Female,61.0,4.0,104502.11,1.0,1.0,0.0,123959.36,1.0
27,15703614.0,Nwankwo,677.0,France,Female,26.0,6.0,0.0,2.0,1.0,1.0,143598.7,0.0
28,15703394.0,Piazza,591.0,Spain,Male,36.0,2.0,0.0,2.0,1.0,1.0,91947.74,0.0
29,15790067.0,Chu,707.0,Spain,Female,47.0,10.0,0.0,1.0,1.0,0.0,80619.09,1.0
30,15651740.0,Tien,632.0,Germany,Female,35.0,2.0,115115.32,2.0,1.0,0.0,146652.01,0.0
31,15744044.0,Nwokike,603.0,France,Male,43.0,2.0,141749.74,1.0,0.0,1.0,138526.96,0.0
32,15773869.0,Hsia,686.0,France,Female,38.0,9.0,0.0,1.0,1.0,0.0,163560.8,1.0
33,15691785.0,Nkemakolam,629.0,France,Female,40.0,5.0,0.0,2.0,1.0,0.0,178235.37,1.0
34,15642758.0,Chidimma,639.0,France,Male,30.0,9.0,0.0,2.0,1.0,0.0,82868.34,0.0
35,15707042.0,Fanucci,662.0,France,Male,31.0,4.0,0.0,2.0,1.0,0.0,171446.83,0.0
36,15746012.0,Okechukwu,674.0,France,Male,51.0,10.0,0.0,1.0,0.0,0.0,162960.05,1.0
37,15746490.0,Chukwuemeka,678.0,France,Male,34.0,8.0,0.0,2.0,1.0,0.0,151481.86,0.0
38,15791326.0,Niu,539.0,Germany,Female,46.0,8.0,108881.73,1.0,1.0,0.0,141069.88,1.0
39,15728454.0,Ting,700.0,Spain,Female,63.0,7.0,0.0,2.0,1.0,0.0,75825.57,1.0
40,15642710.0,Chidiegwu,576.0,Germany,Female,47.0,4.0,111537.23,1.0,1.0,0.0,100995.68,1.0
41,15654060.0,Onyekachi,678.0,France,Male,30.0,6.0,0.0,1.0,1.0,0.0,60972.84,0.0
42,15576126.0,Frolova,554.0,Spain,Male,37.0,8.0,0.0,1.0,1.0,1.0,111243.09,0.0
43,15731669.0,Uspenskaya,538.0,Germany,Female,47.0,2.0,152685.4,1.0,1.0,0.0,53420.53,1.0
44,15802486.0,Yashina,730.0,France,Male,33.0,9.0,0.0,2.0,1.0,0.0,50974.57,0.0
45,15746333.0,Chukwufumnanya,535.0,Spain,Male,35.0,9.0,84906.45,2.0,1.0,1.0,182612.38,0.0
46,15783859.0,Yermakova,737.0,France,Female,34.0,4.0,0.0,1.0,0.0,0.0,96832.82,0.0
47,15760641.0,Udinesi,598.0,France,Male,29.0,9.0,154737.96,1.0,1.0,0.0,53478.02,0.0
48,15626485.0,Ch'ien,754.0,France,Female,47.0,4.0,0.0,1.0,1.0,1.0,136330.32,0.0
49,15707473.0,Chukwuhaenye,749.0,France,Male,46.0,5.0,0.0,1.0,0.0,0.0,159475.08,1.0
